"","condition_YS30_vs_ctl"
"PHO87",-0.297889348394327
"CAALFM_C105950CA",-1.13531431509978
"PGA45",-2.69758734509327
"CAALFM_C105970WA",4.93770006874318
"CAALFM_C105980WA",0.297752310636975
"CAALFM_C105990CA",-4.43880151573621
"CAALFM_C106000WA",-0.104131009390279
"CHS7",0.209106845815759
"RGD1",0.210165176218264
"CAALFM_C106030CA",0.308066009048309
"RTT101",-0.0690991576048702
"CAALFM_C106050CA",0.00665126237870154
"ACP1",-0.0491517575926104
"CAALFM_C106070WA",-0.853133980432485
"ARC35",-0.129303058915839
"CAALFM_C106090CA",0.154915012330455
"MSI3",0.718169247146106
"NPL4",0.198027030394392
"CAALFM_C106120CA",-0.866179683886436
"HAC1",2.79661735375972
"CAALFM_C106150WA",0.359067881337077
"CAALFM_C106160WA",0.302649668674543
"TLO34",-2.66082260123537
"CAALFM_C106190CA",NA
"CAALFM_C106200WA",0.304981795899973
"BUD16",-0.0831668699011974
"CAALFM_C106220CA",-0.0133512252485477
"MDM34",0.379956581948835
"CAALFM_C106250WA",0.516674688893118
"PGA50",-2.83463488353446
"CAALFM_C106270WA",0.365416401943631
"UME6",-0.335000224742778
"CAALFM_C106300WA",-0.389254279323517
"CAALFM_C106310WA",-0.0884435913353204
"CAALFM_C106320WA",0.306814831250457
"CAALFM_C106340WA",-0.679750089182289
"CAALFM_C106350WA",0.349206106310335
"CAALFM_C106360WA",0.5252072550318
"PBR1",6.0192639187826
"CAALFM_C106380CA",-0.0902181134621501
"CAALFM_C106390WA",0.0263725957958879
"CAALFM_C106400CA",0.102482393503468
"CAALFM_C106410WA",-0.0821485005485745
"CAALFM_C106420CA",-0.054226825020961
"CAALFM_C106430CA",0.35660876460563
"CAALFM_C106440CA",-1.02206131516466
"RPS14B",0.254257218725749
"RPS22A",0.449632536601366
"CAALFM_C106470WA",-0.13520749525786
"CAALFM_C106480CA",0.45128931854843
"CAALFM_C106490CA",0.215353698584043
"CAALFM_C106500WA",-1.0078716220325
"CAALFM_C106510CA",0.155872324016876
"BPH1",-2.56301715039591
"CAALFM_C106530CA",-0.0178308721566658
"CAALFM_C106540CA",0.376437500546841
"GLT1",-0.876355421625335
"CAALFM_C106560WA",-0.256762573249511
"ANT1",-0.930080908537226
"RPS23A",0.209115437149132
"CAALFM_C106590CA",0.114040278389778
"CAALFM_C106600WA",-0.193489172898056
"HAK1",-0.0838455710185751
"CAALFM_C106620CA",0.486376273621352
"CAALFM_C106630WA",1.38097557583081
"CAALFM_C106640CA",-0.421076735106723
"CAALFM_C106650WA",-0.164996354145473
"CAALFM_C106660WA",-0.329574936887582
"CAALFM_C106670WA",0.0920356355905094
"VPS34",-0.761778720234711
"CYK3",-0.10308017226302
"CAALFM_C106700WA",-0.630548346536219
"CAALFM_C106710WA",-0.0204319040078944
"CAALFM_C106720CA",-1.75413329062061
"RAC1",0.461693126768183
"NOP6",0.133623974775807
"CAALFM_C106750WA",-1.7638970892765
"CAALFM_C106760CA",0.391870625130367
"CAALFM_C106770WA",-0.196845173976233
"NPR1",0.536336694679267
"MRPL19",-0.755202647411331
"CAALFM_C106800WA",0.159699815344923
"CAT1",1.43379244682605
"CAALFM_C106820WA",0.215215494102064
"CAALFM_C106830WA",0.127088330112104
"CAALFM_C106840CA",-0.0577010009765661
"PCL7",0.176533843786217
"CAALFM_C106860WA",0.0259817814965373
"CAALFM_C106870CA",-0.990407447123868
"SPO22",0.292272238618451
"CAALFM_C106890CA",0.234924290033659
"MMD1",-2.41741116053775
"CAALFM_C106910CA",0.0378298748770918
"CAALFM_C106920CA",0.510537892195296
"PGA63",0.558225634723839
"ATC1",-1.08759417119331
"tP(AGG)1",-0.50575578141542
"SUI2",0.275045843225769
"CAALFM_C106970CA",1.01211450686469
"CAALFM_C106980CA",1.21749142841135
"tL(UAA)4",-0.161919675773093
"MEF2",-0.717551152427098
"CAALFM_C107010WA",-0.26807402281127
"PUT3",-0.459504541345832
"RBT4",0.829641475082741
"CAALFM_C107040CA",0.156376297617933
"CAALFM_C107050CA",0.114431998324597
"CAALFM_C107060CA",-0.184612961862961
"DHH1",-0.0745856141647173
"CAALFM_C107080WA",-1.44236218313552
"CAALFM_C107090CA",0.249559428420168
"CAALFM_C107100CA",-0.315909755784695
"TAF145",-0.107882000139022
"GAP4",-0.691168728421078
"CAALFM_C107130CA",-0.136197170617323
"RIA1",0.0108090288232378
"CAALFM_C107150WA",0.433525455238576
"CAALFM_C107160CA",4.74366755168181
"ZCF23",-0.184269910838367
"CCS1",-0.870944075531901
"SOG2",-0.203336969444533
"YMC1",-0.341357371732823
"CAALFM_C107210CA",0.0516644815432473
"CAALFM_C107220WA",2.11551704504268
"PHO15",-0.374963768958933
"YPD1",0.0372315116944748
"ALG9",0.281309376432677
"CAALFM_C107260CA",0.413456591949301
"SEC34",0.572301090285745
"CAALFM_C107280CA",-0.167744513676238
"tL(AAG)2",-1.14800984669488
"CAALFM_C107320WA",-0.397215032384478
"RME1",0.257833692644047
"CAALFM_C107340WA",0.62143585762255
"GPX3",0.749638763482062
"CAALFM_C107360WA",0.88456806126242
"CPH1",0.461242794316179
"KSP1",0.194247177302853
"CAALFM_C107390WA",0.417538994709917
"CAALFM_C107400CA",0.0195981774054274
"SKP1",-0.338749630623664
"PEX3",-0.606686482102345
"PHO100",1.22009384974713
"CAALFM_C107440WA",-0.0630397152922584
"CAALFM_C107450WA",0.438610579338424
"GPI8",0.540849073832126
"CAALFM_C107470CA",-0.784791030534666
"CAALFM_C107480CA",0.0165224634713363
"CAALFM_C107490CA",1.24680035369751
"LHP1",0.814393360033536
"CAALFM_C107510WA",0.209430396936646
"IST2",-1.12844402606049
"CAALFM_C107530WA",0.145397995509178
"BBC1",-0.882893668209822
"SWD2",-0.175345632696711
"CAALFM_C107560WA",-0.542456294882173
"CAALFM_C107570CA",-0.134634764318827
"PRY1",-0.861204178866102
"CAALFM_C107590CA",0.216590223202657
"ATP7",-0.303898827035961
"CAALFM_C107610CA",-0.903929034750674
"PIR32",-1.09928601621283
"CAALFM_C107630WA",0.0307027099677012
"CAALFM_C107640CA",0.72837643371971
"CAALFM_C107650WA",0.660289610069843
"CAALFM_C107660WA",0.415894822030936
"ZCF4",2.79717148695354
"HAP2",0.0765376074014772
"CAALFM_C107690CA",0.286372027737548
"VRG4",0.822982595558035
"ADE4",0.0652350219682956
"FGR6-3",1.83259986207912
"CAALFM_C107780WA",0.154723955320345
"CAALFM_C107790CA",0.033843633041118
"MTO1",-0.322228376511434
"CAALFM_C107810CA",0.354692941795178
"CAALFM_C107820WA",-0.652197328035068
"CAALFM_C107830CA",-0.539394623260072
"CAALFM_C107840WA",-1.05496350531626
"CAALFM_C107850CA",0.385408642523616
"CAALFM_C107860WA",0.631089353753076
"SMI1",-0.0948631235291258
"GCS1",0.292496373438247
"ADE5%2C7",-0.265282708877635
"COI1",2.20760124073209
"MRPL3",-0.194856564196549
"CAALFM_C107920WA",-0.691795808954759
