"","condition_SS30_vs_ctl"
"PRY1",6.90102549955646
"CAALFM_C107590CA",0.547646851817761
"ATP7",-0.375629142940792
"CAALFM_C107610CA",-0.903136770464448
"PIR32",-2.75457288341149
"CAALFM_C107630WA",-0.0544653260390743
"CAALFM_C107640CA",2.01968487032318
"CAALFM_C107650WA",1.59018666522056
"CAALFM_C107660WA",-1.04284989579058
"ZCF4",2.54559308665373
"HAP2",-0.434192264750682
"CAALFM_C107690CA",-0.00737132543446297
"VRG4",0.0336986714909002
"ADE4",-0.168909100727706
"FGR6-3",0.75148958801582
"CAALFM_C107780WA",0.135262284900917
"CAALFM_C107790CA",-0.918631267990225
"MTO1",-0.170325579582431
"CAALFM_C107810CA",-0.0714312027302318
"CAALFM_C107820WA",-0.465560388409102
"CAALFM_C107830CA",-0.620548573142515
"CAALFM_C107840WA",0.903362154398952
"CAALFM_C107850CA",0.00760477577574446
"CAALFM_C107860WA",0.118243993068472
"SMI1",0.766454788813919
"GCS1",-0.295420093759386
"ADE5%2C7",-0.707994754407964
"COI1",1.60950572004551
"MRPL3",-0.318908768160541
